recording_id,source_id,azimuth,vertical_elevation,horizontal_elevation
156,5,45,-30,0
156,41,112,0,0
156,50,330,30,0
156,62,255,-30,0
157,9,120,0,0
157,60,260,30,0
157,80,40,30,0
157,88,340,-30,0
157,123,20,-30,0
158,4,25,-30,0
158,25,111,0,0
158,37,335,-30,0
158,50,255,30,0
158,73,50,30,0
159,8,210,30,0
159,17,140,-30,0
159,27,295,-30,0
159,102,280,0,0
159,112,110,30,0
160,5,125,0,0
160,22,140,-30,0
160,25,205,0,0
160,47,303,-29,0
160,73,280,30,0
161,36,125,-30,0
161,39,195,-30,0
161,56,337,0,0
161,79,10,30,0
161,87,95,0,0
161,94,295,30,0
162,7,295,-30,0
162,48,35,30,0
162,56,90,0,0
162,80,125,-30,0
162,109,195,30,0
162,119,335,0,0
163,8,60,0,0
163,28,345,30,0
163,61,75,30,0
163,81,215,0,0
163,106,135,-30,0
163,111,270,-30,0
164,11,200,30,0
164,21,320,0,0
164,59,310,-30,0
164,84,111,0,0
164,99,21,30,0
164,123,125,-30,0
165,44,300,-30,0
165,59,10,30,0
165,64,95,0,0
165,78,140,-30,0
165,93,195,0,0
165,110,270,30,0
166,51,175,30,0
166,59,0,0,0
166,78,225,-30,0
166,80,55,0,0
166,95,85,-30,0
166,107,260,30,0
167,22,240,0,0
167,27,327,29,0
167,36,175,-30,0
167,81,255,-30,0
167,85,35,30,0
167,95,55,0,0
168,9,175,30,0
168,10,330,-30,0
168,21,235,0,0
168,32,25,0,0
168,65,50,-30,0
168,116,249,30,0
169,17,199,0,0
169,35,30,-30,0
169,41,111,0,0
169,81,125,30,0
169,98,303,29,0
169,107,270,-30,0
170,6,105,0,0
170,43,285,-30,0
170,82,130,-30,0
170,95,310,0,0
170,96,25,30,0
170,106,185,30,0
171,1,325,30,0
171,11,225,0,0
171,37,270,-30,0
171,87,170,30,0
171,98,50,0,0
171,120,35,-30,0
172,3,135,-30,0
172,5,33,29,0
172,50,112,0,0
172,62,310,30,0
172,78,210,0,0
172,121,285,-30,0
173,14,170,-30,0
173,21,40,0,0
173,46,220,-30,0
173,100,355,30,0
173,108,230,0,0
173,116,85,30,0
174,2,225,30,0
174,23,147,-29,0
174,34,71,0,0
174,42,50,30,0
174,56,355,0,0
174,63,255,-30,0
175,23,70,30,0
175,27,60,0,0
175,63,340,0,0
175,78,155,-30,0
175,91,240,30,0
175,100,250,-30,0
176,16,55,30,0
176,21,230,-30,0
176,60,160,-30,0
176,69,345,0,0
176,107,220,30,0
176,111,34,0,0
177,4,290,30,0
177,36,85,0,0
177,39,240,0,0
177,56,345,30,0
177,79,125,-30,0
177,87,201,-30,0
177,123,170,30,0
178,7,112,0,0
178,11,30,30,0
178,50,95,-30,0
178,78,0,-30,0
178,80,201,-30,0
178,85,315,0,0
178,122,325,30,0
179,2,95,-30,0
179,6,295,30,0
179,13,115,0,0
179,24,280,0,0
179,76,20,30,0
179,80,200,0,0
179,97,35,-30,0
180,5,148,0,0
180,37,220,30,0
180,41,50,30,0
180,59,270,0,0
180,94,180,-30,0
180,104,237,-29,0
180,115,343,0,0
181,2,145,0,0
181,23,343,0,0
181,27,245,30,0
181,62,225,-30,0
181,72,80,0,0
181,84,270,-30,0
181,85,123,-29,0
181,103,15,30,0
182,5,215,30,0
182,21,155,30,0
182,45,285,30,0
182,52,245,0,0
182,57,0,-30,0
182,61,130,0,0
